dg_id,player_name,ppi,teetime,first_tee_time_in_group,sg_total,score,event_name,wave_average,course_factor_star,category,ppi_sg_diff
5768,"Hoffman, Charley",0.11627204105142233,2025-06-08T09:10:00.000000,2024-10-24T09:40:00.000000,-0.020660000000000095,73,RBC Canadian Open,67.84782608695652,1.6077662621636581,Gamer,0.13693204105142243
6093,"Rose, Justin",0.6901115098181488,2025-06-13T13:25:00.000000,2024-07-11T14:05:00.000000,0.3178600000000001,77,U.S. Open,75.14285714285714,3.353853982792206,Proper Player,0.37225150981814875
6169,"Kuchar, Matt",0.24401983666844934,2025-06-27T13:27:00.000000,2024-10-24T09:29:00.000000,0.29252,71,Rocket Classic,70.37179487179488,0.9565217043034202,Imposter,-0.04850016333155066
6252,"Baddeley, Aaron",-1.0852881239654075,2025-06-27T12:21:00.000000,2024-10-11T13:57:00.000000,-1.2845,73,Rocket Classic,70.37179487179488,0.9565217043034202,Gamer,0.19921187603459245
6430,"Scott, Adam",0.3867715069410803,2025-06-22T11:28:00.000000,2024-08-31T14:33:00.000000,0.3597400000000001,70,Travelers Championship,69.62857142857143,1.4004847736410446,Proper Player,0.027031506941080197
6931,"Byrd, Jonathan",-0.8151736881145074,2025-05-09T09:25:00.000000,2023-05-13T10:15:00.000000,-0.70986,69,ONEflight Myrtle Beach Classic,70.34848484848484,0.0,Mule,-0.10531368811450736
6986,"Johnson, Zach",0.3761986412656068,2025-06-29T08:25:00.000000,2024-07-05T12:49:00.000000,0.25932,74,Rocket Classic,70.19354838709677,0.9565217043034202,Proper Player,0.11687864126560682
7293,"Walker, Jimmy",-1.4463599248449326,2025-05-16T08:28:00.000000,2023-07-08T10:27:00.000000,-1.56036,74,PGA Championship,72.36363636363636,3.014188099336586,Gamer,0.11400007515506738
7301,"Dufner, Jason",-0.8362396752719203,2025-05-16T08:39:00.000000,2023-07-13T06:45:00.000000,-0.7245800000000001,77,PGA Championship,72.36363636363636,3.014188099336586,Mule,-0.11165967527192022
7305,"Gutschewski, Scott",-1.7779341263971054,2025-05-09T13:32:00.000000,2024-01-25T09:01:00.000000,-1.7111,76,ONEflight Myrtle Beach Classic,70.86363636363636,0.0,Mule,-0.06683412639710529
7399,"Glover, Lucas",0.6102927121933475,2025-06-22T12:34:00.000000,2025-01-30T10:19:00.000000,0.4068399999999999,68,Travelers Championship,69.21875,1.4004847736410446,Proper Player,0.20345271219334754
7626,"O'Hair, Sean",-0.4826016107018359,2025-03-07T06:45:00.000000,2023-11-09T08:18:00.000000,-0.48771999999999993,74,Puerto Rico Open,69.87951807228916,0.0,Gamer,0.00511838929816405
7655,"Molinari, Francesco",-0.32808465906864687,2025-06-27T13:05:00.000000,2024-05-17T09:30:00.000000,-0.3451599999999999,68,Rocket Classic,70.37179487179488,0.9565217043034202,Gamer,0.017075340931353045
7820,"Palmer, Ryan",-2.2933120525821513,2025-06-27T08:13:00.000000,2024-06-01T12:45:00.000000,-2.10408,69,Rocket Classic,68.87179487179488,0.9565217043034202,Mule,-0.18923205258215114
7881,"Kang, Sung",-1.211043068353229,2025-05-02T13:17:00.000000,2023-05-14T10:50:00.000000,-1.2549599999999999,74,THE CJ CUP Byron Nelson,70.76923076923077,0.9855580142386179,Gamer,0.04391693164677091
7899,"Piercy, Scott",-0.06410644047388453,2025-05-09T13:21:00.000000,2024-04-18T11:57:00.000000,-0.25801999999999997,77,ONEflight Myrtle Beach Classic,70.86363636363636,0.0,Gamer,0.19391355952611544
