course_num,course_name,total_over_80,total_sub_70,total_rounds,scoring_average,other_over_80,other_sub_70,course_factor,course_factor_star
700,TPC Boston,5,482,1076,70.08271375464685,1582,59558,39.053197014126766,1.6026371868417304
21,Colonial CC,14,1379,3571,70.44805376645198,1573,58661,37.86033993694353,1.5895065953397556
919,El Cardonal at Diamante,4,406,785,69.59617834394905,1583,59634,37.11478797195573,1.5810935081840838
931,Tahoe Mountain Club (Old Greenwood),4,416,882,69.91609977324264,1583,59624,36.21653141552068,1.570735894391338
534,Bellerive CC,2,214,471,70.12526539278132,1585,59826,35.27580412158377,1.5596170481723772
250,Le Golf National,1,112,238,69.90336134453781,1586,59928,33.73716447486939,1.540794364969552
977,The Renaissance Club,7,810,1850,70.05351351351351,1580,59230,32.39646819815596,1.5237005409686313
32,Glen Abbey GC,3,391,926,70.4060475161987,1584,59649,28.892990002325043,1.4755693568782275
660,Montreux Golf & Country Club,1,142,402,70.97512437810946,1586,59898,26.596273733193616,1.4408504441534487
503,TPC River Highlands,14,2087,3759,69.24288374567705,1573,57953,24.714554513744304,1.4101790048811613
243,Trinity Forest Golf Club,3,484,922,69.53362255965294,1584,59556,23.304845980465817,1.3856928733000593
886,Liberty National Golf Club,2,341,802,70.03117206982543,1585,59699,22.090899839958556,1.3634408574695345
2000,Sherwood Country Club,1,173,308,69.25974025974025,1586,59867,21.819169175371204,1.3582998281137364
656,Plantation Course at Kapalua,4,741,1476,69.59823848238483,1583,59299,20.221261156194828,1.3267711899753554
538,TPC Summerlin,10,1828,3374,69.3633669235329,1577,58212,20.1931762521698,1.3261960499348062
978,Vidanta Vallarta,4,765,1677,70.00238521168754,1583,59275,19.578941283820328,1.3134230280346764
769,Monterey Peninsula CC,2,386,921,70.30184581976113,1585,59654,19.50082541965643,1.3117713472989418
669,TPC Deere Run,10,1901,3620,69.46325966850829,1577,58139,19.39339072283486,1.3094894400886292
928,PGA National Resort (The Champion),2,416,847,69.6788665879575,1585,59624,18.08541616112594,1.2807016342620663
884,Keene Trace Golf Club (Champions Course),5,1042,2182,69.81805682859762,1582,58998,17.89505739958409,1.276348215558922
882,Caves Valley Golf Club,1,232,471,69.70912951167728,1586,59808,16.25429403835283,1.2368971947767429
232,Albany GC,1,234,536,70.00746268656717,1586,59806,16.11482954484216,1.2333725781392126
202,La Quinta CC,3,718,1241,69.04593070104754,1584,59322,15.647948847809573,1.2213607328001483
930,Black Desert Resort,1,243,396,69.06060606060606,1586,59797,15.51564875790741,1.2178956380604575
733,El Camaleón Golf Course at Mayakoba,5,1224,2452,69.66965742251223,1582,58816,15.187195822281716,1.2091716205638134
36,Firestone CC (South),1,256,588,70.21088435374149,1586,59784,14.724542875157628,1.1965780290182781
510,TPC Scottsdale,6,1524,3639,70.21269579554823,1581,58516,14.571660515870052,1.192334926917979
875,Accordia Golf Narashino Country Club,3,779,1546,69.65847347994826,1584,59261,14.40779748706578,1.1877405616530037
800,TPC Kuala Lumpur,1,272,624,70.03205128205128,1586,59768,13.854684370595653,1.1718634284342027
513,TPC Southwind,5,1512,2959,69.58769854680635,1582,58528,12.234195546458505,1.1216975474241295
6,Waialae Country Club,8,2459,3919,68.77672875733606,1579,57581,11.86392878675767,1.1093736272063204
771,The Old White TPC,2,728,1363,69.41232575201761,1585,59312,10.280445106943532,1.0523262364979964
921,TPC Craig Ranch,2,842,1372,68.84912536443149,1585,59198,8.871471709988986,0.9943819052410511
876,Detroit Golf Club,3,1350,3246,70.16050523721503,1584,58690,8.233726150392817,0.9653769902999327
894,TPC Craig Ranch,1,478,934,69.39079229122056,1586,59562,7.856664221984203,0.9472701798134321
752,Sedgefield Country Club,2,2478,4142,68.90825688073394,1585,57562,2.931131496602277,0.5945175712415112
776,Sea Island GC (Seaside),1,1432,2394,68.89431913116124,1586,58608,2.580540624317527,0.5539486055353713
379,The Philadelphia Cricket Club (Wissahickon Course),0,159,283,69.00353356890459,1587,59881,0.0,0.0
901,Wilmington Country Club,0,122,270,70.24814814814815,1587,59918,0.0,0.0
887,Kasumigaseki Country Club,0,135,240,69.06666666666666,1587,59905,0.0,0.0
688,East Lake Golf Club,0,552,954,68.90880503144655,1587,59488,0.0,0.0
874,Hamilton Golf & Country Club,0,392,902,69.97339246119734,1587,59648,0.0,0.0
899,The Summit Club,0,201,311,68.43408360128618,1587,59839,0.0,0.0
406,Castle Pines Golf Club,0,46,195,71.37435897435897,1587,59994,0.0,0.0
789,Conway Farms GC,0,150,276,69.1159420289855,1587,59890,0.0,0.0
823,Keene Trace Golf Club,0,196,402,69.90547263681592,1587,59844,0.0,0.0
819,RTJ Trail (Grand National),0,234,417,69.29496402877697,1587,59806,0.0,0.0
873,Ridgewood CC,0,167,397,70.42569269521411,1587,59873,0.0,0.0
925,Dunes Golf and Beach Club,0,355,806,70.05955334987593,1587,59685,0.0,0.0
773,Aronimink GC,0,205,275,67.88,1587,59835,0.0,0.0
933,East Lake Golf Club,0,77,120,68.61666666666666,1587,59963,0.0,0.0
348,Medinah Country Club (No. 3),0,122,276,69.92753623188406,1587,59918,0.0,0.0
940,Grand Reserve Golf Club,0,210,419,69.61575178997613,1587,59830,0.0,0.0
